numDep,Related to homicide,Moral violence,Robbery,Physical violence,"Drug, Alcohol, Health",Public degradations
1,328,251,2103,201,615,1567
2,975,644,4395,583,716,2274
3,442,321,3047,253,485,1472
4,143,90,1093,74,183,366
5,179,95,1633,100,168,721
6,3867,2812,36873,1912,2816,11046
7,163,107,1659,107,229,630
8,359,328,2172,192,359,918
9,126,67,859,59,215,340
10,659,452,4597,333,358,1601
11,552,387,4553,240,407,1594
12,205,150,1489,155,373,646
13,7096,5549,79328,3132,7824,19844
14,1114,801,8513,528,1048,2977
15,102,46,708,36,31,234
16,488,348,3370,253,362,1123
17,772,414,7707,376,1054,2185
18,410,298,3649,256,275,1128
20,296,203,2029,190,131,800
21,818,651,6332,566,644,2276
22,374,216,3170,198,358,1013
23,47,26,322,29,61,133
24,327,158,2766,171,239,854
25,1093,865,7165,531,532,3254
26,847,725,8260,493,778,2396
27,713,377,3991,380,598,2171
28,619,436,3745,400,652,1492
30,2822,2263,34889,1370,2631,8055
31,2915,1707,26631,1721,2945,6366
32,81,57,1103,49,183,320
33,1767,1082,16407,722,1340,4647
34,1738,991,13384,775,1400,4355
35,2507,1853,28342,1214,2053,6802
36,179,97,1369,54,109,400
37,157,106,1240,98,147,426
38,907,647,7665,487,934,2761
39,74,58,501,58,80,284
40,1258,956,9835,668,1156,3034
41,376,299,3286,197,292,951
42,1981,1440,22064,945,1175,4920
43,99,32,1239,57,413,382
44,1706,1178,13052,1013,1757,4931
45,341,207,3173,138,231,982
46,654,362,6214,453,689,1697
47,274,218,2167,251,192,873
48,0,0,1,0,0,40
49,387,185,2067,222,292,892
50,1823,1235,11489,1034,1354,4236
51,442,379,2292,252,340,1831
52,1242,615,10020,725,919,2896
53,56,25,245,39,111,141
54,1308,776,8602,896,1731,3298
55,0,2,5,0,1,482
56,871,549,5720,337,514,1966
57,1067,880,7652,667,1137,3512
58,17,4,38,7,163,80
59,10621,6873,79895,5523,9776,19558
60,530,415,3264,479,501,2944
61,476,207,2024,271,232,590
62,4707,2814,28439,2831,2957,8583
63,817,562,8467,475,948,3288
64,1428,964,11761,693,1318,7057
65,19,11,66,78,174,1868
66,1921,1726,12397,1222,1690,4734
67,1328,1156,7358,754,787,3193
68,22,30,298,14,78,1075
69,6284,4398,53319,2910,7692,15823
70,785,636,4839,554,816,2259
71,166,87,1713,122,98,3476
72,366,165,2993,133,413,691
73,622,340,5227,330,1140,2328
74,133,75,1082,405,653,2055
75,11031,7675,180152,5971,13906,53295
76,2685,2125,21046,1445,2294,6998
77,3632,2614,34019,2127,5367,11567
78,4314,3223,38171,2733,6572,12726
79,196,99,1629,128,164,427
80,99,53,813,53,53,262
81,1547,1226,10482,854,1621,3836
82,527,258,4898,288,511,1492
83,1800,1044,14787,818,1763,4332
84,966,637,7388,585,1112,2802
85,664,344,4596,287,473,1517
86,267,92,1680,164,207,487
87,517,480,3381,331,426,1634
88,590,478,4407,357,493,1832
89,370,225,2822,127,467,821
90,360,213,1717,149,166,663
91,2588,1805,21720,1242,2659,6366
92,6348,4554,74332,3048,8457,22552
93,7677,4027,67647,2945,9396,17500
94,5631,3636,59954,2839,6338,17845
95,2443,1527,21338,890,3418,6634
991,366,346,2677,255,409,1178
992,941,756,7998,542,625,2366
