numDep,Related to homicide,Moral violence,Robbery,Physical violence,"Drug, Alcohol, Health",Public degradations
1,376,267,2295,255,584,1363
2,940,501,4200,619,700,1862
3,572,406,3496,315,576,1651
4,203,154,1438,100,150,359
5,245,121,1531,104,144,565
6,4115,3011,30413,2046,3306,10596
7,186,85,1253,114,198,613
8,443,358,2309,211,358,812
9,144,118,917,67,151,395
10,700,459,4128,491,306,1592
11,650,441,4402,316,326,1731
12,238,207,1510,163,338,711
13,8117,6151,75665,3859,6715,20464
14,1348,977,7595,706,1111,3204
15,106,70,829,52,56,338
16,638,444,3015,365,388,1320
17,822,478,7535,440,947,1954
18,499,349,2972,275,250,1219
20,396,239,1809,176,277,892
21,889,543,4978,550,556,2737
22,395,227,3153,239,350,1122
23,51,32,312,23,18,154
24,378,202,2742,176,279,846
25,1345,1134,5907,573,858,3258
26,1010,751,6886,503,826,2227
27,838,487,3837,492,855,1810
28,589,577,2797,460,509,1589
30,3282,2464,31963,1569,2965,9487
31,3217,1948,30639,1836,2105,7747
32,1,10,17,3,61,106
33,2922,1730,24891,1303,2049,7191
34,1862,1160,12534,811,1315,4554
35,2955,2155,25728,1473,1564,6507
36,121,121,871,79,90,424
37,220,173,1794,161,291,695
38,1842,1582,14485,1002,1927,4908
39,405,353,3335,258,285,916
40,183,145,826,105,238,511
41,0,5,50,0,0,118
42,3822,2524,37043,2163,2801,10568
43,251,185,1577,171,99,678
44,1286,884,9023,848,1083,3442
45,317,244,2362,221,278,1074
46,410,273,1113,223,235,592
47,141,80,640,71,158,423
48,107,85,499,97,254,330
49,1729,1270,9267,992,1187,3517
50,634,457,3090,312,508,1866
51,1448,901,7937,803,1319,3810
52,312,180,1456,157,406,840
53,75,60,404,42,152,137
54,1254,720,7175,545,1292,3728
55,1047,779,6920,459,868,2160
56,208,119,1064,135,163,438
57,923,717,5159,512,861,3203
58,275,120,1074,138,169,357
59,11157,6971,78726,5983,10754,23201
60,638,389,2482,432,328,1985
61,378,229,1843,306,254,549
62,4932,2925,30159,3293,3211,9191
63,957,595,7975,550,1183,2560
64,1377,933,8615,716,981,4378
65,0,1,13,0,2,260
66,2300,1939,11857,1212,1904,5613
67,1511,1166,7604,690,868,2977
68,190,158,1379,111,116,879
69,7868,5359,52122,4072,7200,20844
70,190,136,1442,131,102,481
71,359,221,2805,189,401,893
72,9,6,13,2,11,49
73,688,534,6191,376,1310,3414
74,180,85,722,266,316,312
75,13564,9981,172011,6121,14310,58311
76,3266,2517,23908,1917,3350,8635
77,3797,3112,32873,2650,5767,12745
78,3938,3068,27935,2548,5610,11759
79,256,153,2475,154,141,681
80,22,5,19,3,2,207
81,2401,1459,14388,1163,2371,5256
82,519,306,4048,298,639,1348
83,2065,1515,14325,1170,2170,5417
84,1077,611,7827,603,1028,2966
85,379,292,1979,184,339,990
86,638,485,3058,364,614,1385
87,436,301,3897,240,467,1448
88,677,476,4594,363,641,1383
89,699,478,4438,360,733,1544
90,225,129,1986,77,408,554
91,1667,1234,12444,1023,1687,3972
92,8481,6196,82171,4312,8125,30440
93,7811,4783,61748,3654,8542,19668
94,5924,4069,52890,3283,5809,18252
95,2096,1417,17099,1077,2902,5393
991,280,187,1153,117,264,741
992,956,739,7742,475,559,2259
