numDep,Related to homicide,Moral violence,Robbery,Physical violence,"Drug, Alcohol, Health",Public degradations
1,413,243,2250,217,537,1323
2,854,491,4542,548,626,1789
3,633,389,3476,344,622,1631
4,227,165,1324,125,182,449
5,184,119,1510,109,162,604
6,3932,2649,30342,1949,2661,10081
7,213,92,1411,118,246,377
8,480,347,2131,234,430,767
9,207,160,818,95,84,479
10,732,520,3812,454,418,1726
11,614,382,4561,278,427,1446
12,256,183,1613,169,333,700
13,8196,6026,73576,4208,6292,21152
14,1240,1065,8291,772,1128,3495
15,105,63,811,66,104,302
16,686,505,3506,412,389,1353
17,888,480,7731,499,1008,2084
18,499,335,3262,273,180,1200
20,394,251,1708,187,417,855
21,967,625,6159,606,769,2784
22,442,278,3347,228,373,1212
23,51,32,452,34,37,141
24,455,243,2746,196,278,798
25,1548,1152,6335,711,862,3330
26,962,705,6524,577,893,2275
27,851,519,3892,500,828,2009
28,652,513,3114,427,616,1645
30,3357,2460,35150,1787,3224,9120
31,3150,1836,32443,1790,2408,8032
32,0,1,0,0,0,6
33,3083,1697,24715,1403,1841,6739
34,1666,948,10757,868,1065,3890
35,3110,2193,28855,1718,2012,7438
36,120,124,895,101,210,384
37,327,192,1664,167,334,788
38,1952,1575,14207,1043,1860,5025
39,429,283,3694,268,276,996
40,124,109,857,96,184,533
41,4,2,49,2,1,124
42,2746,1588,32001,1560,1928,7085
43,1304,980,7306,892,841,3328
44,882,609,5160,528,465,2211
45,1073,657,8395,788,830,3381
46,421,259,1319,283,198,619
47,150,66,730,91,205,365
48,154,81,468,107,222,293
49,1785,1174,9306,1062,1126,3605
50,687,470,3188,396,503,1719
51,1408,917,8403,852,1384,3610
52,374,227,1707,211,438,713
53,91,34,340,58,165,174
54,1298,696,6949,675,1292,3415
55,1319,828,6672,577,806,2067
56,181,128,924,125,199,345
57,1335,983,6682,796,1076,3665
58,1203,698,4724,653,946,1837
59,10211,6583,73516,5832,9718,20935
60,796,540,2718,537,557,2450
61,581,291,2800,414,660,865
62,4720,2763,28217,3257,2592,8951
63,1208,656,10696,677,1240,2980
64,1359,831,8134,616,676,3516
65,1,5,20,1,7,167
66,2328,1825,13477,1438,1840,5552
67,1633,1103,7521,827,924,2827
68,245,180,1420,133,174,855
69,7625,5197,76634,4384,6794,21390
70,180,101,1282,136,160,450
71,383,200,2735,233,383,1022
72,15,5,7,8,11,43
73,760,533,7033,476,1300,3006
74,242,93,812,417,487,308
75,14332,10457,181334,6566,14853,62861
76,3264,2475,24596,2152,3202,8654
77,4861,3742,37916,3475,7027,15462
78,3296,2466,25920,2437,4823,9721
79,287,213,2256,190,178,861
80,36,7,14,3,0,193
81,2269,1314,14482,1231,3097,5387
82,483,328,3645,263,881,1185
83,2105,1504,13888,1239,2211,5389
84,1000,650,7772,698,1098,3002
85,395,295,1748,265,318,872
86,665,362,3070,457,496,1420
87,495,281,3582,298,489,1396
88,774,474,4496,421,967,1582
89,744,461,4365,336,985,1925
90,174,175,2048,103,375,750
91,1775,1368,12910,1558,1981,4717
92,8874,6185,83211,4990,9502,30223
93,8128,5038,66945,4059,9527,20193
94,6274,4322,60218,3834,7802,22548
95,2700,1649,17049,1291,2184,5461
991,247,177,1099,114,173,751
992,956,652,7991,542,410,2409
