numDep,Related to homicide,Moral violence,Robbery,Physical violence,"Drug, Alcohol, Health",Public degradations
1,362,306,1554,204,574,1065
2,1131,617,4202,654,648,2079
3,675,603,2654,394,482,1675
4,260,182,1047,137,207,496
5,256,152,699,143,235,682
6,4772,3312,21913,2076,2939,11225
7,199,117,1010,162,160,466
8,475,380,1359,247,344,867
9,243,163,620,111,107,508
10,741,536,2771,484,411,1681
11,609,394,2908,310,378,1291
12,329,231,1062,219,341,663
13,9895,6531,60007,4443,6838,21449
14,1412,1161,5405,874,894,3263
15,146,100,481,72,71,347
16,783,493,2704,377,584,1374
17,1292,651,5198,627,808,2369
18,541,301,2125,256,248,1241
20,412,288,1212,245,349,1045
21,1121,618,4892,567,670,2885
22,510,304,2118,256,393,1128
23,107,90,220,53,107,193
24,673,330,1963,300,350,1014
25,1739,1139,5100,724,884,2892
26,1196,733,5612,566,599,2421
27,813,479,3051,440,531,1775
28,658,588,2128,569,677,1555
30,3813,2405,28087,2004,2420,8974
31,22,44,174,11,99,451
32,3490,2043,32934,2220,1390,7837
33,3433,2011,19015,1439,1603,6955
34,23,24,33,18,185,432
35,5032,3325,29982,2737,2987,10801
36,184,132,818,122,160,430
37,329,316,1405,228,398,911
38,880,626,3451,479,592,1976
39,1353,1030,7706,616,963,3384
40,463,327,2721,321,327,1008
41,169,148,845,121,196,433
42,2844,1638,25532,1674,1535,6635
43,0,1,0,1,0,197
44,2419,1846,7894,1618,1578,5256
45,1300,842,6464,973,860,3084
46,0,0,0,0,1,0
47,322,197,1065,218,248,911
48,78,73,431,57,114,228
49,124,109,373,93,267,346
50,2176,1594,8552,1265,1572,5168
51,1555,981,5624,826,781,3970
52,121,99,387,104,119,278
53,347,165,1009,144,168,524
54,1737,1102,5293,925,1474,3172
55,0,1,1,2,0,17
56,1,8,3,0,4,180
57,2611,1902,10239,1378,1377,5177
58,4,7,6,3,29,380
59,13375,8312,61353,7543,8770,24173
60,13,11,30,2,90,1733
61,719,510,1871,533,394,1182
62,5932,3450,21658,3907,3387,11166
63,1085,696,5064,555,583,2432
64,702,388,3788,377,710,2019
65,1118,650,4756,476,551,1923
66,2648,2400,11619,1293,1195,5972
67,2067,1443,5337,1106,949,3217
68,11,23,168,5,191,778
69,9049,5745,60264,4556,6025,21245
70,0,1,0,0,0,134
71,664,353,2518,356,482,1531
72,9,6,34,9,33,123
73,1047,553,5034,435,951,2263
74,0,0,1,11,85,6
75,13915,10727,154259,7271,11973,58145
76,3980,3138,20504,2558,3079,9950
77,4885,2960,24609,2987,3436,12311
78,4595,3033,21127,2979,3721,10687
79,56,46,260,46,53,139
80,321,186,1299,236,258,864
81,1882,1015,7126,794,1436,3964
82,1219,646,5263,583,1405,2644
83,1838,1279,9182,1052,1697,4480
84,1581,1127,8276,1167,1544,4606
85,209,128,626,135,236,414
86,555,401,1867,361,377,1283
87,373,191,1068,242,413,593
88,11,8,12,2,16,265
89,556,331,2888,323,429,1186
90,318,175,1131,134,315,563
91,3508,2355,18840,2532,3133,9131
92,10423,6970,67974,5699,8038,32446
93,9439,6158,55529,4783,9995,22132
94,8515,5662,54601,4895,7462,22885
95,1649,925,7169,659,1421,5850
991,331,215,801,145,158,655
992,992,774,6058,523,612,2511
