numDep,Related to homicide,Moral violence,Robbery,Physical violence,"Drug, Alcohol, Health",Public degradations
1,355,289,2258,217,477,1508
2,994,610,4578,602,755,2014
3,586,330,3346,276,592,1521
4,188,153,1194,101,200,423
5,234,117,1643,95,161,660
6,4113,3013,36244,2064,2940,11692
7,178,115,1504,113,263,459
8,460,290,1904,173,319,917
9,152,88,727,81,203,341
10,672,448,3604,364,462,1738
11,647,449,4437,387,434,1733
12,258,198,1636,134,401,716
13,7565,6068,78611,3661,7671,19841
14,1252,966,8074,667,1412,3301
15,114,72,914,41,40,294
16,608,449,3344,277,397,1186
17,900,479,8344,442,1088,2032
18,544,377,3400,290,232,1247
20,339,231,1758,215,195,923
21,915,630,6514,519,577,2512
22,414,262,2676,202,374,1082
23,67,29,320,25,58,132
24,413,206,2506,202,278,988
25,1395,1200,6827,596,790,3063
26,994,771,7944,504,809,2131
27,726,401,3954,438,596,1692
28,695,483,3601,424,610,1685
30,3136,2545,32351,1623,3125,9477
31,3213,1821,28364,1528,2907,8040
32,15,5,21,10,60,88
33,3023,1816,21604,1236,2003,6418
34,1878,1165,12390,853,1395,4303
35,2735,2224,24395,1240,1877,6340
36,122,91,891,70,70,360
37,272,163,1837,121,258,747
38,1999,1704,13510,987,1931,4802
39,205,233,1859,128,168,643
40,332,285,2561,239,282,870
41,1,3,49,0,1,140
42,3771,2724,36059,1951,2745,9663
43,296,195,1724,176,125,682
44,1218,733,9628,627,1338,2874
45,332,248,2095,216,267,982
46,0,1,13,1,4,111
47,343,213,1163,196,188,657
48,48,30,575,27,89,266
49,1671,1116,9500,824,1217,3499
50,811,655,4091,446,550,1852
51,1222,763,9695,726,1061,3533
52,99,69,636,104,112,258
53,198,130,953,126,417,435
54,2189,1389,13861,1028,1999,5296
55,311,258,1577,199,213,597
56,160,116,865,67,164,339
57,780,618,5241,422,809,2726
58,32,11,141,18,10,20
59,11387,7418,81766,5715,11123,22649
60,738,515,2738,497,393,3650
61,763,438,3829,547,756,1238
62,4624,2592,27023,2723,2541,8628
63,1034,628,8713,416,1184,2973
64,1330,926,9843,618,1126,6671
65,0,3,11,0,4,122
66,2175,1911,12628,1108,1980,6031
67,1584,1292,8186,782,1012,3095
68,34,35,359,11,44,734
69,7756,5460,65082,3773,8707,20094
70,167,123,1276,88,80,435
71,323,220,3047,156,421,1572
72,0,1,5,0,1,31
73,679,462,5134,333,1349,2600
74,198,87,801,363,546,1946
75,13999,11114,168724,6466,14956,58614
76,1686,1267,14674,974,1976,5400
77,4315,3541,33958,2584,6173,13451
78,3793,3112,30809,2621,5109,11486
79,252,186,2244,149,158,681
80,21,5,23,8,6,137
81,2390,1547,16560,1085,2535,5137
82,548,339,4264,236,781,1208
83,1592,1232,11882,806,1319,4015
84,1585,1005,12208,887,1354,3896
85,380,319,1909,217,230,846
86,581,404,2809,347,486,1367
87,228,186,2572,147,146,1162
88,669,491,4682,315,806,1479
89,765,502,4299,409,706,1814
90,123,93,1344,68,208,372
91,1815,1487,15805,1050,2316,4906
92,8216,6124,81537,4264,8144,29754
93,7097,4541,64658,3084,7971,19422
94,5514,4105,51644,2944,5736,19341
95,2258,1587,18030,1070,2922,6367
991,226,186,943,126,252,779
992,323,230,1932,135,122,1111
