numDep,Related to homicide,Moral violence,Robbery,Physical violence,"Drug, Alcohol, Health",Public degradations
1,373,297,2117,273,567,1375
2,1125,641,5284,721,879,2250
3,731,508,3504,377,447,1549
4,266,195,1355,152,209,518
5,238,106,1154,132,103,774
6,4780,3274,29270,2189,2745,11694
7,191,66,1370,90,281,473
8,471,387,1927,270,376,1006
9,169,137,874,114,134,420
10,842,658,3539,557,412,1828
11,668,438,3905,419,346,1413
12,292,233,1318,186,330,719
13,10033,6929,70958,4545,5936,22266
14,1330,1172,7233,857,898,3511
15,165,140,693,92,88,463
16,807,596,3491,385,694,1467
17,1076,546,6780,663,905,2349
18,560,341,2782,310,282,1085
20,385,299,1712,232,457,955
21,1059,738,5746,628,640,2845
22,535,283,2795,277,459,1142
23,106,61,394,51,39,159
24,535,271,2532,253,346,1007
25,1820,1220,5924,722,993,3465
26,1085,722,6570,620,785,2137
27,806,473,3532,432,635,1991
28,687,573,2923,467,605,1655
30,3789,2675,33994,2137,2857,10831
31,3665,2210,36938,2145,2053,9349
32,1,5,6,1,2,85
33,3384,2076,24678,1575,1796,7496
34,2127,1285,12162,993,1430,4740
35,3281,2462,27051,1879,2012,7894
36,165,172,805,110,81,397
37,269,234,1568,138,299,713
38,2193,1736,13464,1084,1777,5145
39,482,299,3409,313,408,1025
40,149,110,1029,113,184,508
41,6,3,67,3,0,125
42,3087,1816,31883,1781,1874,7216
43,5,8,41,8,38,154
44,2366,1820,10920,1620,1145,5482
45,1200,809,8276,998,989,3401
46,399,195,1103,292,138,683
47,137,104,672,91,254,363
48,137,78,502,95,278,364
49,1770,1320,8299,1017,1392,3827
50,743,494,3087,438,515,1859
51,1588,963,7048,918,1066,4141
52,395,199,1572,263,354,707
53,124,78,393,82,43,212
54,1545,889,6251,860,1420,3492
55,1217,790,5690,498,605,2207
56,288,257,1387,238,184,672
57,1583,1159,6652,930,1154,4537
58,1477,1034,4515,811,563,2041
59,12095,7855,68795,7276,9470,24910
60,825,565,2709,615,564,2630
61,598,418,2390,520,504,1034
62,5522,3176,25351,3859,3101,10952
63,1269,795,8067,624,799,2780
64,1565,990,9618,767,1003,4233
65,0,3,8,2,0,247
66,2844,2458,13421,1475,1538,5794
67,1959,1390,6857,1044,1676,3592
68,47,45,389,16,61,697
69,9547,5929,75606,5242,6591,23452
70,98,75,362,56,72,252
71,447,205,2081,249,460,885
72,8,10,13,5,44,51
73,1001,668,6219,368,917,3568
74,188,110,602,491,407,345
75,16388,12850,216920,8650,14106,68377
76,2485,1723,13488,1523,2325,6485
77,5028,3704,34060,3634,5578,14481
78,4526,3125,26383,3012,5078,12503
79,380,266,1678,237,212,911
80,13,2,13,3,8,205
81,2674,1549,13687,1327,3296,5772
82,560,347,3569,291,656,1314
83,2422,1757,13674,1436,2260,6406
84,1211,820,6884,746,897,3327
85,402,289,1712,204,248,895
86,614,357,2494,397,531,1377
87,445,258,3340,272,524,1806
88,849,574,4486,480,1062,1930
89,498,379,3341,269,586,1343
90,227,154,1242,113,180,641
91,2265,1748,13643,2003,2133,6093
92,11135,7705,85612,6206,10816,35760
93,8981,5887,62888,4452,9277,22335
94,7264,4863,55238,4436,6938,21843
95,2403,1578,14763,1395,1845,7235
991,263,220,951,174,151,711
992,1042,673,7260,570,608,2508
