numDep,Related to homicide,Moral violence,Robbery,Physical violence,"Drug, Alcohol, Health",Public degradations
1,376,300,2342,276,572,1387
2,1079,509,5405,715,906,2261
3,736,460,3371,351,600,1603
4,237,211,1289,134,142,483
5,285,136,1256,158,203,754
6,4168,3068,30441,2063,2868,10154
7,178,95,1337,106,230,370
8,498,435,2011,262,358,1068
9,192,147,849,70,71,393
10,820,585,3673,572,514,1671
11,720,414,4017,364,333,1419
12,245,176,1569,165,344,749
13,9312,6483,73295,4618,5947,21627
14,1418,976,8302,881,1033,3526
15,127,91,771,87,92,401
16,707,501,3627,387,505,1373
17,942,494,6825,523,1043,2048
18,511,343,2886,304,233,1318
20,396,309,1840,210,422,906
21,1078,639,5755,669,799,2955
22,478,261,3195,278,394,1313
23,67,59,396,36,42,152
24,470,250,2594,231,244,1015
25,1759,1258,5866,690,1093,3260
26,1080,656,6140,627,1079,2145
27,786,425,3477,451,711,1852
28,683,528,2885,497,687,1633
30,3529,2537,33536,1951,3184,9227
31,3386,1979,33182,2062,2157,8232
32,33,11,40,10,39,127
33,3108,1724,22892,1536,1754,6852
34,1656,925,11993,891,1182,3975
35,3530,2604,28232,1971,2145,8253
36,179,166,934,113,233,427
37,330,242,1642,184,244,854
38,1966,1561,13638,1069,1676,5157
39,428,360,3520,255,328,975
40,174,105,917,104,217,495
41,0,1,44,4,3,107
42,2944,1665,32132,1707,1784,6788
43,1396,1046,7315,866,722,3168
44,1042,802,4911,613,521,2385
45,1171,742,8086,912,914,3353
46,387,254,1200,252,250,637
47,118,63,691,77,248,313
48,158,60,493,129,221,273
49,1789,1251,8447,1177,1490,3748
50,646,448,3151,407,550,1761
51,1522,897,7274,983,1045,3346
52,424,254,1643,247,383,720
53,93,56,486,62,146,208
54,1496,883,6553,857,1324,3204
55,1031,706,5849,556,569,1926
56,336,334,1381,228,265,651
57,1386,974,6487,820,1155,3738
58,1383,1036,4169,848,839,2066
59,10978,6849,69986,6363,10321,22067
60,648,525,2226,424,538,2415
61,281,146,1075,183,87,331
62,5410,3194,28686,3949,3657,10732
63,1281,835,9846,747,1127,2886
64,1429,726,8279,577,777,3749
65,2,4,8,0,1,167
66,2691,2286,13721,1398,1549,5427
67,1614,1224,6888,939,880,3200
68,213,150,1354,99,142,890
69,8538,5594,76562,4922,7162,21212
70,129,93,429,58,92,258
71,465,245,2404,207,566,1111
72,9,5,9,6,23,64
73,901,577,6888,428,1251,2168
74,189,68,693,467,593,1472
75,15738,11807,194179,8293,15804,63111
76,2485,1550,15883,1454,2477,6199
77,4124,3015,30991,3147,5900,13225
78,4572,3351,29316,3070,5890,13817
79,362,236,2039,183,152,834
80,32,13,9,6,1,208
81,2596,1574,14005,1282,2789,5706
82,549,306,3556,402,840,1277
83,2370,1790,13206,1401,2234,5746
84,1106,646,6745,703,1062,2906
85,381,311,1941,268,423,914
86,654,454,2768,362,712,1386
87,431,300,3375,291,602,1512
88,795,539,4520,408,931,1709
89,766,532,4016,408,934,2164
90,241,182,2009,105,418,699
91,1787,1203,12509,1424,2304,4860
92,9713,6682,80566,5763,9274,31367
93,8708,5487,63849,4415,9614,21104
94,7225,4988,60323,4462,7755,23030
95,1495,879,8455,836,1367,3797
991,277,205,979,180,190,624
992,280,264,1714,207,166,1089
